Driver,SpeedMean,SpeedMax,ThrottleStd,BrakePct,GearChanges
VER,242.62783171521036,329.0,41.21454038330734,0.15857605177993528,7
GAS,241.9248366013072,326.0,39.259665471126304,0.13725490196078433,7
PER,245.22641509433961,331.0,40.50932309510434,0.16666666666666666,7
ALO,240.14723926380367,334.0,38.94746416143092,0.1411042944785276,7
LEC,240.63258785942492,340.0,38.7459762535638,0.1501597444089457,7
STR,243.2439024390244,332.0,39.22689321833449,0.14939024390243902,7
SAR,239.06031746031746,330.0,42.63166856806547,0.1523809523809524,7
MAG,238.590625,334.0,40.07705536063385,0.140625,7
ALB,237.58024691358025,328.0,42.0088770120292,0.15432098765432098,7
ZHO,241.123417721519,331.0,39.73748939087892,0.1360759493670886,7
HUL,242.33846153846153,327.0,38.097374115940255,0.11384615384615385,7
OCO,238.60422960725074,344.0,39.64675686657782,0.1782477341389728,7
NOR,240.0347003154574,332.0,39.60638578351839,0.13249211356466878,7
LAW,240.6742671009772,331.0,41.08659825713581,0.16612377850162866,7
HAM,240.397476340694,348.0,40.98962993744463,0.14511041009463724,6
SAI,243.35238095238094,327.0,37.60452087036609,0.14285714285714285,7
RUS,245.12618296529968,332.0,38.96554965372765,0.14195583596214512,6
BOT,242.21630094043888,327.0,39.86469594476394,0.15047021943573669,7
PIA,243.35555555555555,323.0,39.758668663569516,0.12698412698412698,7
